"Grid_code" "X" "Y" "lib" "area" "year" "grid" "plant_abundance_grid" "biomass_mean" "biomass_sd" "buffer_size" "Zones_humides" "Forets_et_milieux_naturels_terrestres" "Zones_en_eau" "Milieux_cultives" "Num" "pHwater" "lime_tot" "MO" "Phos" "K" "Mg" "Ca" "Na" "N" "C" "CN" "clay" "SiltF" "SiltC" "SandF" "SandC" "Cl" "Res" "Cond" "Profondeur" "depth_oxy"
"26" "22_CAM_05" 835178.389781778 6268719.91566344 "Forets_et_milieux_naturels_terrestres" 29439.4235638599 22 5 16 7.59222222222222 3.70839513057123 300 41.8798154602581 50.9434748469639 0 7.17670969277803 "2307088" 9.1 32 1.84 36 307 1576 9803 3281 1221 10.6728538283063 8.74107602645886 31.8 45.1 10.8 8.5 3.8 2780 500 200 35 "30-39"
"27" "22_CAM_06" 836273.523905562 6266515.05487345 "Forets_et_milieux_naturels_terrestres" 162132.857461039 22 6 24 13.2055555555556 3.73830546876225 300 46.7858685346123 47.7212041344107 1.87578525665573 3.61714207432128 "2307089" 8.3 26 5.39 28 849 1589 10588 3758 3306 31.2645011600928 9.4568969026294 31.1 48.4 11.6 6.3 2.6 4040 330 303.030303030303 40 ">40"
"28" "22_CAM_07" 834460.834133418 6263628.45802757 "Zones_humides" 175652.509719543 22 7 26 8.04333333333333 1.63438061662515 300 50.9378477123274 49.0621522876726 0 0 "2307090" 9.3 34 2.41 23 395 1259 10328 2553 1328 13.9791183294664 10.5264445252006 31.5 50.1 12.9 3.2 2.3 1980 660 151.515151515152 7 "0-9"
"29" "22_CAM_08" 834410.650377381 6277098.85437769 "Milieux_cultives" 35354.6841591713 22 8 18 17.7044444444444 8.05030296186285 300 0 39.477437672447 0 60.522562327553 "2307091" 7.8 26 6.17 56 106 387 12794 86 3778 35.7888631090487 9.47296535443323 21.3 26.1 25.8 23 3.8 36 3420 29.2397660818713 37 "30-39"
"30" "22_CAM_09" 834394.413484775 6276985.18355477 "Milieux_cultives" 12817.9586925656 22 9 14 17.7111111111111 5.79653440523828 300 0 25.1062652989759 0 74.8937347010241 "2307092" 7.9 29 5.58 47 83 288 12390 62 3578 32.3665893271462 9.04600037091844 21.1 31.5 25.2 19.2 3 30 3860 25.9067357512953 40 ">40"
"31" "22_CAM_10" 835038.873386745 6269056.65727228 "Forets_et_milieux_naturels_terrestres" 11151.1699254923 22 10 26 6.18 2.20750990937753 300 11.6195220836731 75.2674228444855 0 13.1130550718414 "2307093" 8.1 25 2.66 38 96 301 11085 277 1735 15.4292343387471 8.89293045460928 17.8 20.5 14.2 16.3 31.2 516 1840 54.3478260869565 18 "10-19"
"32" "22_CAM_11" 835337.512774785 6269039.20120042 "Forets_et_milieux_naturels_terrestres" 9728.60433462262 22 11 17 16.1188888888889 4.67650629328253 300 20.3881053450417 67.6833243417918 0 11.9285703131665 "2307094" 8.2 28 4.75 44 171 381 11924 88 2641 27.5522041763341 10.432489275401 25.7 43.5 22 6.6 2.2 74 3860 25.9067357512953 10 "10-19"
"33" "22_CAM_12" 829613.102436319 6257761.15984237 "Forets_et_milieux_naturels_terrestres" 39959.6233740449 22 12 9 9.29888888888889 5.57188129011298 300 30.3431103565524 61.9813838147398 7.67550582870778 0 "2307095" 9.2 20 0.32 27 27 132 7679 30 200 1.85614849187935 9.28074245939675 2.9 1.2 3.3 19.9 72.7 23.5 8910 11.2233445566779 40 ">40"
"34" "22_CAM_13" 829589.479519806 6257738.89033788 "Forets_et_milieux_naturels_terrestres" 39959.6233740449 22 13 11 13.5555555555556 14.765588467033 300 27.3424910417751 67.155919028222 5.50158993000288 0 "2307096" 9.2 24 0.35 33 27 115 7918 37 235 2.03016241299304 8.63898899145974 2.2 1 5.5 22 69.3 36.5 8730 11.454753722795 40 ">40"
"35" "22_CAM_14" 829702.501739574 6257261.66701391 "Forets_et_milieux_naturels_terrestres" 169589.235548808 22 14 10 11.62 15.2999411763575 300 23.8035716983571 76.1964283016429 0 0 "2307097" 8.8 23 0.6 44 61 111 7778 39 367 3.48027842227378 9.48304747213565 2.5 0.9 6.7 42.5 47.4 38 8150 12.2699386503067 40 ">40"
"36" "22_CAM_15" 829761.276760653 6257137.56009214 "Zones_humides" 604489.287681296 22 15 7 8.71777777777778 6.32504303894009 300 26.3233920487244 73.6766079512756 0 0 "2307098" 8.8 24 0.74 29 290 1518 8715 8652 446 4.292343387471 9.62408831271524 6.4 5.9 10.5 51.4 25.8 11460 120 833.333333333333 1 "0-9"
"37" "22_CAM_16" 836558.942539364 6272580.94278053 "Forets_et_milieux_naturels_terrestres" 200471.053450042 22 16 21 9.52555555555556 5.0388915227238 300 41.6193697134116 44.777281047312 0.272270727336704 13.3310785119396 "2307099" 8.3 31 2.84 59 345 1128 11243 3730 1781 16.4733178654292 9.24947662292489 36.6 50.4 8.1 3.6 1.3 4020 340 294.117647058824 5 "0-9"
"38" "22_CAM_17" 836421.489288065 6272651.37600913 "Forets_et_milieux_naturels_terrestres" 200471.053450042 22 17 15 10.9344444444444 8.45858308334072 300 38.9660703989865 55.7981334156814 0.109898933084888 5.12589725224714 "2307100" 8.2 29 3.73 81 353 1154 10952 4604 2093 21.6357308584687 10.3371862677825 38.7 48.7 7.7 3.6 1.3 3580 270 370.37037037037 0 "0-9"
"39" "22_CAM_18" 837831.392686654 6267037.53164543 "Milieux_cultives" 30498.2102635577 22 18 12 8.27 2.12893752843995 300 0 6.37994081467486 0 93.6200591853251 "2307101" 8.2 32 2.18 57 285 967 11333 1467 1482 12.6450116009281 8.5323964918543 33.4 52.3 7.4 3.4 3.5 5080 630 158.730158730159 40 ">40"
"40" "22_CAM_19" 838030.400504537 6266480.83868197 "Forets_et_milieux_naturels_terrestres" 34347.6912200823 22 19 11 6.84777777777778 3.46949483995069 300 0 65.1514870851408 0 34.8485129148592 "2307102" 8.4 28 3.72 113 265 814 11634 449 2277 21.5777262180974 9.47638393416664 30 44.8 8.2 7.3 9.7 410 2010 49.7512437810945 30 "30-39"
"41" "22_CAM_20" 835622.329868681 6267542.34310277 "Zones_humides" 34073.9829811146 22 20 10 11.5811111111111 3.04548618632742 300 93.5687405060043 6.43125949399575 0 0 "2307103" 7.7 11 11.35 46 530 2142 12043 4207 6878 65.8352668213457 9.5718619978694 44.4 32.8 11.7 7.4 3.7 4740 290 344.827586206897 0 "0-9"
"42" "22_CAM_21" 835522.796703963 6267552.90452081 "Zones_humides" 34073.9829811146 22 21 4 16.7033333333333 4.40797005434474 300 94.6793102557821 5.32068974421791 0 0 "2307104" 8.1 13 5.52 60 539 1642 11363 3866 3342 32.0185614849188 9.58065873277043 48.4 32.9 10.6 6.3 1.8 4620 320 312.5 0 "0-9"
